product_id,product_name,price,quantity,
1,tea,20,20,
2,tea,30,20,
3,tea,20,20,
4,tea,20,20,
5,tea,20,20,
6,tea,20,20,
7,tea,20,20, 
8,tea,40,20,
9,tea,20,20,
10,tea,20,20,
11,tea,20,20,
12,tea,50,20,
13,tea,50,20,
14,tea,50,20,
15,tea,20,20,
16,tea,20,20,
17,tea,20,20,
18,tea,20,20,
19,tea,20,20,
20,tea,20,20,
21,tea,20,20,
22,tea,20,20,
23,tea,20,20,
24,tea,20,20,
25,tea,20,20,
26,tea,20,20,
27,tea,20,20,
28,tea,20,20,
29,tea,20,20,
30,tea,20,20,
31,tea,20,20,
32,tea,20,20,
33,tea,20,20,
34,tea,20,20,
35,tea,20,20,
36,tea,20,20,
37,tea,20,20,
38,tea,20,20,
39,tea,20,20,
40,tea,20,20,
41,tea,20,20,
42,tea,20,20,
43,tea,20,20,
44,tea,20,20,
45,tea,20,20,
46,tea,20,20,
47,tea,20,20,
48,tea,20,20,
49,tea,20,20,
50,tea,20,20,
51,tea,20,20,
52,tea,20,20,
53,tea,20,20,
54,tea,20,20,
55,tea,20,20,
56,tea,20,20,
57,tea,20,20,
58,tea,20,20,
59,tea,30,20,
60,tea,20,20,
61,tea,20,30,
62,tea,20,30,
63,tea,30,40
